Player,Position,Team within selected timeframe,Minutes played
Simão,Goalkeeper,AVS ,1100
R. Owusu-Oduro,Goalkeeper,AZ,1538
V. Jaroš,Goalkeeper,Ajax,1757
André Gomes,Goalkeeper,Alverca,1893
H. Koffi,Goalkeeper,Angers SCO,1874
João Valido,Goalkeeper,Arouca,899
N. Mantl,Goalkeeper,Arouca,797
David Raya,Goalkeeper,Arsenal,2610
E. Martínez,Goalkeeper,Aston Villa,2160
M. Carnesecchi,Goalkeeper,Atalanta,2329
Unai Simón,Goalkeeper,Athletic Club,2368
J. Oblak,Goalkeeper,Atlético Madrid,2175
F. Dahmen,Goalkeeper,Augsburg,2118
D. Léon,Goalkeeper,Auxerre,1799
Joan García,Goalkeeper,Barcelona,1687
M. Flekken,Goalkeeper,Bayer Leverkusen,1661
M. Neuer,Goalkeeper,Bayern München,1760
A. Trubin,Goalkeeper,Benfica,1901
Ł. Skorupski,Goalkeeper,Bologna,1059
F. Ravaglia,Goalkeeper,Bologna,1215
G. Kobel,Goalkeeper,Borussia Dortmund,2188
M. Nicolas,Goalkeeper,Borussia Mgladbach,2178
D. Petrović,Goalkeeper,Bournemouth,2619
C. Kelleher,Goalkeeper,Brentford,2613
G. Coudert,Goalkeeper,Brest,1138
R. Majecki,Goalkeeper,Brest,957
B. Verbruggen,Goalkeeper,Brighton,2614
M. Dúbravka,Goalkeeper,Burnley,2599
E. Caprile,Goalkeeper,Cagliari,2351
P. Sequeira,Goalkeeper,Casa Pia AC,1614
A. Radu,Goalkeeper,Celta de Vigo,2274
Robert Sánchez,Goalkeeper,Chelsea,2434
J. Butez,Goalkeeper,Como,2252
E. Audero,Goalkeeper,Cremonese,1975
D. Henderson,Goalkeeper,Crystal Palace,2597
Antonio Sivera,Goalkeeper,Deportivo Alavés,2379
M. Zetterer,Goalkeeper,Eintracht Frankfurt,1105
Kauã Santos,Goalkeeper,Eintracht Frankfurt,1012
M. Dituro,Goalkeeper,Elche,797
Iñaki Peña,Goalkeeper,Elche,1578
M. Dmitrović,Goalkeeper,Espanyol,2273
Joel Robles,Goalkeeper,Estoril,2062
Renan Ribeiro,Goalkeeper,Estrela Amadora,2106
J. Pickford,Goalkeeper,Everton,2576
S. van Gassel,Goalkeeper,Excelsior,1882
L. Carević,Goalkeeper,Famalicão,2185
T. Wellenreuther,Goalkeeper,Feyenoord,2158
David de Gea,Goalkeeper,Fiorentina,2487
M. Branderhorst,Goalkeeper,Fortuna Sittard,2066
N. Atubolu,Goalkeeper,Freiburg,2203
B. Leno,Goalkeeper,Fulham,2609
N. Leali,Goalkeeper,Genoa,1887
David Soria,Goalkeeper,Getafe,2390
Andrew,Goalkeeper,Gil Vicente,1664
P. Gazzaniga,Goalkeeper,Girona,1907
J. De Busser,Goalkeeper,Go Ahead Eagles,2258
E. Vaessen,Goalkeeper,Groningen,1802
Daniel Heuer Fernandes,Goalkeeper,Hamburger SV,2114
B. Klaverboer,Goalkeeper,Heerenveen,1687
D. Ramaj,Goalkeeper,Heidenheim,2171
L. Montipò,Goalkeeper,Hellas Verona,2161
T. Jansink,Goalkeeper,Heracles,1162
F. de Keijzer,Goalkeeper,Heracles,778
O. Baumann,Goalkeeper,Hoffenheim,2200
Y. Sommer,Goalkeeper,Internazionale,2137
M. Di Gregorio,Goalkeeper,Juventus,2066
M. Schwäbe,Goalkeeper,Köln,2231
I. Provedel,Goalkeeper,Lazio,2360
M. Diaw,Goalkeeper,Le Havre,1692
W. Falcone,Goalkeeper,Lecce,2349
Lucas Perri,Goalkeeper,Leeds United,1622
K. Darlow,Goalkeeper,Leeds United,985
R. Risser,Goalkeeper,Lens,2185
M. Ryan,Goalkeeper,Levante,1991
B. Özer,Goalkeeper,Lille,1902
Alisson,Goalkeeper,Liverpool,2132
Y. Mvogo,Goalkeeper,Lorient,1795
D. Batz,Goalkeeper,Mainz 05,999
R. Zentner,Goalkeeper,Mainz 05,879
Leo Román,Goalkeeper,Mallorca,1799
G. Donnarumma,Goalkeeper,Manchester City,2298
S. Lammens,Goalkeeper,Manchester United,2001
J. Fischer,Goalkeeper,Metz,2023
M. Maignan,Goalkeeper,Milan,2123
P. Köhn,Goalkeeper,Monaco,1532
Caio Secco,Goalkeeper,Moreirense,885
André Ferreira,Goalkeeper,Moreirense,1187
D. Bielica,Goalkeeper,NAC Breda,2061
G. Crettaz,Goalkeeper,NEC,2175
Kaique,Goalkeeper,Nacional,1520
A. Lopes,Goalkeeper,Nantes,2098
V. Milinković-Savić,Goalkeeper,Napoli,1680
N. Pope,Goalkeeper,Newcastle United,2030
Y. Diouf,Goalkeeper,Nice,1602
M. Sels,Goalkeeper,Nottingham Forest,1858
D. Greif,Goalkeeper,Olympique Lyonnais,1712
G. Rulli,Goalkeeper,Olympique Marseille,1790
Sergio Herrera,Goalkeeper,Osasuna,2278
T. de Graaff,Goalkeeper,PEC Zwolle,1969
L. Chevalier,Goalkeeper,PSG,1673
M. Kovář,Goalkeeper,PSV,2045
O. Nkambadio,Goalkeeper,Paris,1105
K. Trapp,Goalkeeper,Paris,991
E. Corvi,Goalkeeper,Parma,1178
Z. Suzuki,Goalkeeper,Parma,1090
A. Šemper,Goalkeeper,Pisa,1664
Diogo Costa,Goalkeeper,Porto,2032
P. Gulácsi,Goalkeeper,RB Leipzig,2104
A. Batalla,Goalkeeper,Rayo Vallecano,2188
Pau López,Goalkeeper,Real Betis,800
Álvaro Valles,Goalkeeper,Real Betis,1500
T. Courtois,Goalkeeper,Real Madrid,2274
Aarón Escandell,Goalkeeper,Real Oviedo,2275
Álex Remiro,Goalkeeper,Real Sociedad,2386
B. Samba,Goalkeeper,Rennes,1984
C. Miszta,Goalkeeper,Rio Ave,1687
M. Svilar,Goalkeeper,Roma,2350
Gabriel Batista,Goalkeeper,Santa Clara,2175
A. Murić,Goalkeeper,Sassuolo,2262
O. Vlachodimos,Goalkeeper,Sevilla,2018
J. Drommel,Goalkeeper,Sparta Rotterdam,2153
L. Horníček,Goalkeeper,Sporting Braga,2174
Rui Silva,Goalkeeper,Sporting CP,1883
N. Vasilj,Goalkeeper,St. Pauli,2175
M. Penders,Goalkeeper,Strasbourg,2082
A. Nübel,Goalkeeper,Stuttgart,2184
R. Roefs,Goalkeeper,Sunderland,2609
R. Koeman,Goalkeeper,Telstar,2044
Bernardo,Goalkeeper,Tondela,2183
A. Paleari,Goalkeeper,Torino,1465
F. Israel,Goalkeeper,Torino,881
G. Vicario,Goalkeeper,Tottenham Hotspur,2621
G. Restes,Goalkeeper,Toulouse,2085
L. Unnerstall,Goalkeeper,Twente,2053
M. Okoye,Goalkeeper,Udinese,1579
F. Rønnow,Goalkeeper,Union Berlin,2125
V. Barkas,Goalkeeper,Utrecht,1998
Julen Agirrezabala,Goalkeeper,Valencia,1778
Luiz Júnior,Goalkeeper,Villarreal,1859
J. Castillo,Goalkeeper,Vitória Guimarães,1490
Charles,Goalkeeper,Vitória Guimarães,711
K. van Oevelen,Goalkeeper,Volendam,2231
M. Backhaus,Goalkeeper,Werder Bremen,1989
A. Aréola,Goalkeeper,West Ham United,2024
K. Grabara,Goalkeeper,Wolfsburg,2223
S. Johnstone,Goalkeeper,Wolverhampton,1210
José Sá,Goalkeeper,Wolverhampton,1398
Ponck,Centre-back,AVS ,780
Rúben Semedo,Centre-back,AVS ,844
C. Devenish,Centre-back,AVS ,1736
W. Goes,Centre-back,AZ,2051
Alexandre Penetra,Centre-back,AZ,2190
K. Itakura,Centre-back,Ajax,1188
J. Šutalo,Centre-back,Ajax,893
Y. Baas,Centre-back,Ajax,1828
J. Martínez,Centre-back,Alverca,736
Sergi Gómez,Centre-back,Alverca,1606
B. Meupiyou,Centre-back,Alverca,1784
Naves,Centre-back,Alverca,1831
O. Camara,Centre-back,Angers SCO,1947
J. Lefort,Centre-back,Angers SCO,2169
B. Popović,Centre-back,Arouca,1111
José Fontán,Centre-back,Arouca,1707
M. Rocha,Centre-back,Arouca,777
W. Saliba,Centre-back,Arsenal,1917
Gabriel Magalhaes,Centre-back,Arsenal,1918
P. Hincapié,Centre-back,Arsenal,1235
Pau Torres,Centre-back,Aston Villa,1366
E. Konsa,Centre-back,Aston Villa,2478
T. Mings,Centre-back,Aston Villa,766
G. Scalvini,Centre-back,Atalanta,870
O. Kossounou,Centre-back,Atalanta,854
B. Djimsiti,Centre-back,Atalanta,1771
I. Hien,Centre-back,Atalanta,1635
H. Ahanor,Centre-back,Atalanta,1061
Aitor Paredes,Centre-back,Athletic Club,1597
Dani Vivian,Centre-back,Athletic Club,1806
Aymeric Laporte,Centre-back,Athletic Club,1136
C. Lenglet,Centre-back,Atlético Madrid,859
J. Giménez,Centre-back,Atlético Madrid,787
Marc Pubill,Centre-back,Atlético Madrid,747
D. Hancko,Centre-back,Atlético Madrid,2015
Robin Le Normand,Centre-back,Atlético Madrid,1288
C. Zesiger,Centre-back,Augsburg,839
K. Schlotterbeck,Centre-back,Augsburg,1566
N. Banks,Centre-back,Augsburg,1444
C. Matsima,Centre-back,Augsburg,1412
C. Akpa,Centre-back,Auxerre,1722
M. Senaya,Centre-back,Auxerre,1395
S. Diomandé,Centre-back,Auxerre,1024
F. Sierralta,Centre-back,Auxerre,941
R. Araújo,Centre-back,Barcelona,750
Eric García,Centre-back,Barcelona,2012
Pau Cubarsí,Centre-back,Barcelona,1818
Gerard Martín,Centre-back,Barcelona,1139
L. Badé,Centre-back,Bayer Leverkusen,1466
E. Tapsoba,Centre-back,Bayer Leverkusen,1655
R. Andrich,Centre-back,Bayer Leverkusen,1658
J. Quansah,Centre-back,Bayer Leverkusen,1588
J. Tah,Centre-back,Bayern München,1742
Kim Min-Jae,Centre-back,Bayern München,859
D. Upamecano,Centre-back,Bayern München,1406
N. Otamendi,Centre-back,Benfica,1996
Tomás Araújo,Centre-back,Benfica,1139
António Silva,Centre-back,Benfica,1263
J. Lucumí,Centre-back,Bologna,1402
T. Heggem,Centre-back,Bologna,1984
M. Vitík,Centre-back,Bologna,929
N. Schlotterbeck,Centre-back,Borussia Dortmund,1685
W. Anton,Centre-back,Borussia Dortmund,1989
R. Bensebaini,Centre-back,Borussia Dortmund,1061
K. Diks,Centre-back,Borussia Mgladbach,1754
P. Sander,Centre-back,Borussia Mgladbach,1479
N. Elvedi,Centre-back,Borussia Mgladbach,2178
M. Senesi,Centre-back,Bournemouth,2469
B. Diakité,Centre-back,Bournemouth,1450
J. Hill,Centre-back,Bournemouth,1170
K. Ajer,Centre-back,Brentford,1525
S. van den Berg,Centre-back,Brentford,2083
Nathan Collins,Centre-back,Brentford,2271
J. Diaz,Centre-back,Brest,845
B. Chardonnet,Centre-back,Brest,1822
S. Coulibaly,Centre-back,Brest,1170
L. Dunk,Centre-back,Brighton,2464
J. van Hecke,Centre-back,Brighton,2378
M. Estève,Centre-back,Burnley,2176
J. Laurent,Centre-back,Burnley,1431
A. Tuanzebe,Centre-back,Burnley,1034
B. Humphreys,Centre-back,Burnley,882
H. Ekdal,Centre-back,Burnley,1303
G. Zappa,Centre-back,Cagliari,1358
Y. Mina,Centre-back,Cagliari,1318
Zé Pedro,Centre-back,Cagliari,781
David Sousa,Centre-back,Casa Pia AC,1548
João Goulart,Centre-back,Casa Pia AC,938
José Fonte,Centre-back,Casa Pia AC,1530
André Geraldes,Centre-back,Casa Pia AC,1538
Manu Fernández,Centre-back,Celta de Vigo,774
Javi Rodríguez,Centre-back,Celta de Vigo,1527
Marcos Alonso,Centre-back,Celta de Vigo,1867
C. Starfelt,Centre-back,Celta de Vigo,1337
W. Fofana,Centre-back,Chelsea,1087
T. Chalobah,Centre-back,Chelsea,2460
T. Adarabioyo,Centre-back,Chelsea,813
Jacobo Ramón,Centre-back,Como,1847
Diego Carlos,Centre-back,Como,1349
M. Kempf,Centre-back,Como,1349
S. Luperto,Centre-back,Cremonese,1949
F. Terracciano,Centre-back,Cremonese,2187
F. Baschirotto,Centre-back,Cremonese,2358
M. Bianchetti,Centre-back,Cremonese,1683
M. Lacroix,Centre-back,Crystal Palace,2597
C. Richards,Centre-back,Crystal Palace,2186
Jon Pacheco,Centre-back,Deportivo Alavés,1644
N. Tenaglia,Centre-back,Deportivo Alavés,2183
F. Garcés,Centre-back,Deportivo Alavés,860
R. Koch,Centre-back,Eintracht Frankfurt,2080
A. Theate,Centre-back,Eintracht Frankfurt,1896
Pedro Bigas,Centre-back,Elche,1439
D. Affengruber,Centre-back,Elche,1980
Víctor Chust,Centre-back,Elche,1524
L. Pétrot,Centre-back,Elche,1067
L. Cabrera,Centre-back,Espanyol,2180
Fernando Calero,Centre-back,Espanyol,1618
C. Riedel,Centre-back,Espanyol,706
Ferro,Centre-back,Estoril,848
F. Bacher,Centre-back,Estoril,2062
K. Boma,Centre-back,Estoril,1811
Luan Patrick,Centre-back,Estrela Amadora,2057
Bernardo Schappo,Centre-back,Estrela Amadora,1756
A. Chernev,Centre-back,Estrela Amadora,1159
M. Keane,Centre-back,Everton,2039
J. Tarkowski,Centre-back,Everton,2576
R. Meissen,Centre-back,Excelsior,1866
C. Widell,Centre-back,Excelsior,2226
I. Ba,Centre-back,Famalicão,955
J. de Haas,Centre-back,Famalicão,1986
L. Realpe,Centre-back,Famalicão,1458
T. Watanabe,Centre-back,Feyenoord,2016
A. Ahmedhodžić,Centre-back,Feyenoord,2042
M. Pongračić,Centre-back,Fiorentina,2285
Pablo Marí,Centre-back,Fiorentina,892
L. Ranieri,Centre-back,Fiorentina,1540
P. Comuzzo,Centre-back,Fiorentina,1497
Iván Márquez,Centre-back,Fortuna Sittard,2052
S. Adewoye,Centre-back,Fortuna Sittard,1771
M. Ginter,Centre-back,Freiburg,2104
P. Lienhart,Centre-back,Freiburg,985
J. Andersen,Centre-back,Fulham,2446
Jorge Cuenca,Centre-back,Fulham,1019
C. Bassey,Centre-back,Fulham,1636
L. Østigård,Centre-back,Genoa,1700
J. Vásquez,Centre-back,Genoa,2355
A. Marcandalli,Centre-back,Genoa,1486
Djené,Centre-back,Getafe,1926
A. Abqar,Centre-back,Getafe,923
Domingos Duarte,Centre-back,Getafe,1990
Jonathan Buatu,Centre-back,Gil Vicente,1746
M. Elimbi,Centre-back,Gil Vicente,1873
D. Blind,Centre-back,Girona,1915
Vitor Reis,Centre-back,Girona,2052
G. Nauber,Centre-back,Go Ahead Eagles,881
M. Meulensteen,Centre-back,Go Ahead Eagles,1982
J. Kramer,Centre-back,Go Ahead Eagles,2258
T. Blokzijl,Centre-back,Groningen,2165
D. Janse,Centre-back,Groningen,1863
N. Capaldo,Centre-back,Hamburger SV,1458
Daniel Elfadli,Centre-back,Hamburger SV,1140
J. Torunarigha,Centre-back,Hamburger SV,1064
L. Vušković,Centre-back,Hamburger SV,1915
S. Kersten,Centre-back,Heerenveen,1625
M. Willemsen,Centre-back,Heerenveen,1772
B. Gimber,Centre-back,Heidenheim,1116
P. Mainka,Centre-back,Heidenheim,2171
M. Busch,Centre-back,Heidenheim,1347
T. Siersleben,Centre-back,Heidenheim,1102
M. Frese,Centre-back,Hellas Verona,1603
Unai Núñez,Centre-back,Hellas Verona,1375
A. Bella-Kotchap,Centre-back,Hellas Verona,1232
N. Valentini,Centre-back,Hellas Verona,916
V. Nelsson,Centre-back,Hellas Verona,2339
A. Van Hoorenbeeck,Centre-back,Heracles,1554
D. Mirani,Centre-back,Heracles,2172
A. Hajdari,Centre-back,Hoffenheim,1718
R. Hranáč,Centre-back,Hoffenheim,1957
O. Kabak,Centre-back,Hoffenheim,764
A. Bastoni,Centre-back,Internazionale,1946
M. Akanji,Centre-back,Internazionale,2058
Y. Bisseck,Centre-back,Internazionale,1195
F. Acerbi,Centre-back,Internazionale,1049
Bremer,Centre-back,Juventus,1282
L. Kelly,Centre-back,Juventus,2083
F. Gatti,Centre-back,Juventus,870
P. Kalulu,Centre-back,Juventus,2400
T. Koopmeiners,Centre-back,Juventus,1480
C. Özkacar,Centre-back,Köln,855
J. Schmied,Centre-back,Köln,988
S. Sebulonsen,Centre-back,Köln,1996
T. Hübers,Centre-back,Köln,758
E. Martel,Centre-back,Köln,1922
Mario Gila,Centre-back,Lazio,2128
A. Romagnoli,Centre-back,Lazio,1919
G. Lloris,Centre-back,Le Havre,1585
A. Sanganté,Centre-back,Le Havre,1774
Tiago Gabriel,Centre-back,Lecce,2239
Kialonda Gaspar,Centre-back,Lecce,1887
J. Justin,Centre-back,Leeds United,981
J. Bijol,Centre-back,Leeds United,1201
J. Rodon,Centre-back,Leeds United,2334
P. Struijk,Centre-back,Leeds United,2216
Malang Sarr,Centre-back,Lens,2080
I. Ganiou,Centre-back,Lens,1069
S. Baidoo,Centre-back,Lens,1701
J. Gradit,Centre-back,Lens,888
Adrián de la Fuente,Centre-back,Levante,1634
M. Moreno,Centre-back,Levante,1176
Unai Elgezabal,Centre-back,Levante,1073
C. Mbemba,Centre-back,Lille,770
N. Ngoy,Centre-back,Lille,1576
A. Mandi,Centre-back,Lille,1582
V. van Dijk,Centre-back,Liverpool,2640
I. Konaté,Centre-back,Liverpool,2403
M. Talbi,Centre-back,Lorient,2002
Igor Silva,Centre-back,Lorient,1007
D. Yongwa,Centre-back,Lorient,941
B. Meïté,Centre-back,Lorient,1417
D. da Costa,Centre-back,Mainz 05,2048
A. Hanche-Olsen,Centre-back,Mainz 05,943
S. Bell,Centre-back,Mainz 05,1171
D. Kohr,Centre-back,Mainz 05,1566
M. Valjent,Centre-back,Mallorca,2293
Antonio Raíllo,Centre-back,Mallorca,1788
Rúben Dias,Centre-back,Manchester City,2035
J. Gvardiol,Centre-back,Manchester City,1433
Marc Guéhi,Centre-back,Manchester City,2408
A. Khusanov,Centre-back,Manchester City,824
L. Martínez,Centre-back,Manchester United,1019
L. Shaw,Centre-back,Manchester United,2470
H. Maguire,Centre-back,Manchester United,866
L. Yoro,Centre-back,Manchester United,1313
A. Heaven,Centre-back,Manchester United,706
M. de Ligt,Centre-back,Manchester United,1311
J. Gbamin,Centre-back,Metz,1725
T. Yegbe,Centre-back,Metz,1477
S. Sané,Centre-back,Metz,949
K. De Winter,Centre-back,Milan,1117
M. Gabbia,Centre-back,Milan,2119
S. Pavlović,Centre-back,Milan,1871
F. Tomori,Centre-back,Milan,1833
E. Dier,Centre-back,Monaco,765
T. Kehrer,Centre-back,Monaco,1528
M. Salisu,Centre-back,Monaco,1206
Gilberto Batista,Centre-back,Moreirense,991
Marcelo,Centre-back,Moreirense,1067
Maracás,Centre-back,Moreirense,1746
L. Greiml,Centre-back,NAC Breda,1039
R. Hillen,Centre-back,NAC Breda,1755
D. Odoi,Centre-back,NAC Breda,888
A. Kaplan,Centre-back,NEC,1628
E. Dasa,Centre-back,NEC,1412
P. Sandler,Centre-back,NEC,1213
B. Pereira,Centre-back,NEC,890
Matheus Dias,Centre-back,Nacional,1808
Zé Vitor,Centre-back,Nacional,1886
Léo Santos,Centre-back,Nacional,1928
T. Tati,Centre-back,Nantes,1765
C. Awaziem,Centre-back,Nantes,1782
S. Beukema,Centre-back,Napoli,957
Juan Jesus,Centre-back,Napoli,1360
A. Rrahmani,Centre-back,Napoli,1402
A. Buongiorno,Centre-back,Napoli,1518
S. Botman,Centre-back,Newcastle United,1209
F. Schär,Centre-back,Newcastle United,1248
M. Thiaw,Centre-back,Newcastle United,2210
K. Peprah Oppong,Centre-back,Nice,1773
Juma Bah,Centre-back,Nice,1305
A. Mendy,Centre-back,Nice,1362
Murillo,Centre-back,Nottingham Forest,1697
Morato,Centre-back,Nottingham Forest,1042
N. Milenković,Centre-back,Nottingham Forest,2574
Clinton Mata,Centre-back,Olympique Lyonnais,1952
M. Niakhaté,Centre-back,Olympique Lyonnais,1780
N. Aguerd,Centre-back,Olympique Marseille,1328
B. Pavard,Centre-back,Olympique Marseille,1320
L. Balerdi,Centre-back,Olympique Marseille,1309
Alejandro Catena,Centre-back,Osasuna,2022
E. Boyomo,Centre-back,Osasuna,1800
Jorge Herrando,Centre-back,Osasuna,1146
A. García MacNulty,Centre-back,PEC Zwolle,2129
S. Graves,Centre-back,PEC Zwolle,2123
Marquinhos,Centre-back,PSG,868
I. Zabarnyi,Centre-back,PSG,1531
W. Pacho,Centre-back,PSG,1405
Lucas Beraldo,Centre-back,PSG,798
J. Schouten,Centre-back,PSV,2007
Yarek Gasiorowski,Centre-back,PSV,1591
R. Flamingo,Centre-back,PSV,1111
Otávio,Centre-back,Paris,1715
M. Mbow,Centre-back,Paris,1997
L. Valenti,Centre-back,Parma,1667
A. Circati,Centre-back,Parma,1865
E. Del Prato,Centre-back,Parma,2226
A. Calabresi,Centre-back,Pisa,982
A. Caracciolo,Centre-back,Pisa,2159
S. Canestrelli,Centre-back,Pisa,2394
J. Kiwior,Centre-back,Porto,1546
J. Bednarek,Centre-back,Porto,1872
C. Lukeba,Centre-back,RB Leipzig,1586
W. Orbán,Centre-back,RB Leipzig,2152
P. Ciss,Centre-back,Rayo Vallecano,1248
F. Lejeune,Centre-back,Rayo Vallecano,2174
N. Mendy,Centre-back,Rayo Vallecano,1127
Natan,Centre-back,Real Betis,1997
Marc Bartra,Centre-back,Real Betis,1707
Éder Militão,Centre-back,Real Madrid,1103
Dean Huijsen,Centre-back,Real Madrid,1394
Raúl Asencio,Centre-back,Real Madrid,1268
David Costas,Centre-back,Real Oviedo,1579
David Carmo,Centre-back,Real Oviedo,1491
Dani Calvo,Centre-back,Real Oviedo,790
Jon Martín,Centre-back,Real Sociedad,1491
Igor Zubeldía,Centre-back,Real Sociedad,1844
D. Ćaleta-Car,Centre-back,Real Sociedad,1263
A. Rouault,Centre-back,Rennes,1119
L. Brassier,Centre-back,Rennes,1377
A. Ait Boudlal,Centre-back,Rennes,833
A. Seidu,Centre-back,Rennes,921
J. Jacquet,Centre-back,Rennes,1831
J. Panzo,Centre-back,Rio Ave,1215
F. Petrasso,Centre-back,Rio Ave,1419
J. Brabec,Centre-back,Rio Ave,1222
Nelson Abbey,Centre-back,Rio Ave,1419
Mario Hermoso,Centre-back,Roma,1391
E. Ndicka,Centre-back,Roma,1891
G. Mancini,Centre-back,Roma,2315
Luís Rocha,Centre-back,Santa Clara,1280
MT,Centre-back,Santa Clara,838
Frederico Venâncio,Centre-back,Santa Clara,1585
Sidney Lima,Centre-back,Santa Clara,2023
J. Idzes,Centre-back,Sassuolo,2258
T. Muharemović,Centre-back,Sassuolo,2063
César Azpilicueta,Centre-back,Sevilla,878
N. Gudelj,Centre-back,Sevilla,1567
Andrés Castrín,Centre-back,Sevilla,720
Marcão,Centre-back,Sevilla,1056
Kike Salas,Centre-back,Sevilla,1169
M. Young,Centre-back,Sparta Rotterdam,2153
B. Martins Indi,Centre-back,Sparta Rotterdam,1652
B. Arrey-Mbi,Centre-back,Sporting Braga,1403
S. Niakaté,Centre-back,Sporting Braga,862
Vitor Carvalho,Centre-back,Sporting Braga,776
G. Lagerbielke,Centre-back,Sporting Braga,1527
Z. Debast,Centre-back,Sporting CP,768
Gonçalo Inácio,Centre-back,Sporting CP,1893
O. Diomandé,Centre-back,Sporting CP,757
H. Wahl,Centre-back,St. Pauli,1733
E. Smith,Centre-back,St. Pauli,1833
K. Mets,Centre-back,St. Pauli,1458
A. Dźwigała,Centre-back,St. Pauli,1063
I. Doukouré,Centre-back,Strasbourg,1430
L. Hogsberg,Centre-back,Strasbourg,1241
M. Sarr,Centre-back,Strasbourg,1440
J. Chabot,Centre-back,Stuttgart,1662
R. Hendriks,Centre-back,Stuttgart,1270
F. Jeltsch,Centre-back,Stuttgart,1201
L. Geertruida,Centre-back,Sunderland,1169
D. Ballard,Centre-back,Sunderland,1880
O. Alderete,Centre-back,Sunderland,2109
D. Bakker,Centre-back,Telstar,1696
D. Koswal,Centre-back,Telstar,1191
G. Offerhaus,Centre-back,Telstar,2163
N. Ogidi Nwankwo,Centre-back,Telstar,1164
B. Medina,Centre-back,Tondela,1750
Christian Marques,Centre-back,Tondela,1904
A. Ismajli,Centre-back,Torino,1248
A. Tamèze,Centre-back,Torino,1200
Saúl Coco,Centre-back,Torino,2149
G. Maripán,Centre-back,Torino,2156
K. Danso,Centre-back,Tottenham Hotspur,763
M. van de Ven,Centre-back,Tottenham Hotspur,2399
C. Romero,Centre-back,Tottenham Hotspur,1885
C. Cresswell,Centre-back,Toulouse,2085
D. Sidibé,Centre-back,Toulouse,1572
M. McKenzie,Centre-back,Toulouse,1713
R. Nicolaisen,Centre-back,Toulouse,1749
R. Pröpper,Centre-back,Twente,1769
R. Nijstad,Centre-back,Twente,807
M. Bruns,Centre-back,Twente,865
S. Lemkin,Centre-back,Twente,1138
O. Solet,Centre-back,Udinese,2321
C. Kabasele,Centre-back,Udinese,1389
N. Bertola,Centre-back,Udinese,1605
T. Kristensen,Centre-back,Udinese,1448
L. Querfeld,Centre-back,Union Berlin,2227
Diogo Leite,Centre-back,Union Berlin,1491
D. Doekhi,Centre-back,Union Berlin,2227
M. van der Hoorn,Centre-back,Utrecht,1261
N. Viergever,Centre-back,Utrecht,1579
M. Didden,Centre-back,Utrecht,1240
César Tárrega,Centre-back,Valencia,1860
José Copete,Centre-back,Valencia,1815
J. Foyth,Centre-back,Villarreal,1017
Renato Veiga,Centre-back,Villarreal,1586
Rafa Marín,Centre-back,Villarreal,1433
Óscar Rivas,Centre-back,Vitória Guimarães,1098
R. Abascal,Centre-back,Vitória Guimarães,2016
Miguel Nóbrega,Centre-back,Vitória Guimarães,1010
N. Verschuren,Centre-back,Volendam,1915
M. Amevor,Centre-back,Volendam,1895
X. Mbuyamba,Centre-back,Volendam,845
A. Coulibaly,Centre-back,Werder Bremen,1896
A. Pieper,Centre-back,Werder Bremen,1051
J. Todibo,Centre-back,West Ham United,1702
K. Mavropanos,Centre-back,West Ham United,1726
M. Kilman,Centre-back,West Ham United,1768
K. Koulierakis,Centre-back,Wolfsburg,1790
J. Seelt,Centre-back,Wolfsburg,778
M. Jenz,Centre-back,Wolfsburg,1416
Y. Mosquera,Centre-back,Wolverhampton,1452
L. Krejčí,Centre-back,Wolverhampton,1888
Toti,Centre-back,Wolverhampton,1054
S. Bueno,Centre-back,Wolverhampton,1634
E. Agbadou,Centre-back,Wolverhampton,1233
M. Doherty,Centre-back,Wolverhampton,702
L. Rivas,Full-back,AVS ,831
Kiki,Full-back,AVS ,1343
Diogo Spencer,Full-back,AVS ,1095
D. Kasius,Full-back,AZ,1028
M. de Wit,Full-back,AZ,1955
A. Gaaei,Full-back,Ajax,1235
Lucas Rosa,Full-back,Ajax,1265
O. Wijndal,Full-back,Ajax,1117
Nabil Touaizi,Full-back,Alverca,1933
Francisco Chissumba,Full-back,Alverca,1574
C. Arcus,Full-back,Angers SCO,1964
J. Ekomié,Full-back,Angers SCO,1631
A. Danté,Full-back,Arouca,876
Tiago Esgaio,Full-back,Arouca,1825
J. Timber,Full-back,Arsenal,2329
R. Calafiori,Full-back,Arsenal,1487
I. Maatsen,Full-back,Aston Villa,1165
L. Digne,Full-back,Aston Villa,1481
M. Cash,Full-back,Aston Villa,2349
N. Zalewski,Full-back,Atalanta,1141
R. Bellanova,Full-back,Atalanta,1079
L. Bernasconi,Full-back,Atalanta,994
D. Zappacosta,Full-back,Atalanta,1680
Andoni Gorosabel,Full-back,Athletic Club,742
Yuri Berchiche,Full-back,Athletic Club,1921
Jesús Areso,Full-back,Athletic Club,1388
M. Ruggeri,Full-back,Atlético Madrid,1093
N. Molina,Full-back,Atlético Madrid,724
Marcos Llorente,Full-back,Atlético Madrid,1745
R. Fellhauer,Full-back,Augsburg,1913
D. Giannoulis,Full-back,Augsburg,1227
A. Kade,Full-back,Augsburg,1050
L. Sy,Full-back,Auxerre,918
F. Oppegård,Full-back,Auxerre,731
G. Mensah,Full-back,Auxerre,1515
Alejandro Balde,Full-back,Barcelona,1533
J. Koundé,Full-back,Barcelona,1806
